Game,Ads Offered,Game Starts
Gumball's Block Party,"4,970","6,314"
Smashy Piñata,"3,524","6,153"
Jelly of the Beast,"2,767","7,534"
Rumble Bee,"2,755","9,774"
Burger & Burrito,"2,531","3,676"
Stellar Odyssey,"1,959","3,394"
Brains vs Bugs,"1,944","2,666"
Camp Cardboard,"1,358","2,359"
Rainbow Wreckers,"1,297","1,359"
Bounceback,996,"2,661"
Teen Titans GOAL!,859,"2,773"
Diamond Alliance,828,"1,270"
Contagious Cuteness,814,690
Monster Kicks,759,"2,202"
Stack Tracks,750,"1,868"
Xingo Mayhem,538,"2,359"
Shattered Dreams,488,"1,165"
Bottle Catch,482,"2,274"
Go Go K.O.!,458,"1,082"
Rainicorn's Flying Colors,377,"1,233"
